artist,id,type,gender,country,start_date,tags
George Thorogood & The Destroyers,444e7c50-7f72-4954-b61c-1717332a27d1,Person,male,US,1950-02-24,"['blues', 'hard rock', 'blues rock', 'rock and roll', 'boogie rock']"
Oasis,39ab1aed-75e0-4140-bd47-540276886b60,Group,,GB,1991,"['rock', 'alternative rock', 'shoegaze', 'british', 'uk', 'hard rock', 'britannique', 'indie rock', 'power pop', 'indie', 'psychedelic rock', 'britpop', 'acoustic rock', 'noise pop', 'pop rock', 'neo-psychedelia', 'england', 'manchester', 'rock and indie', 'post-britpop', 'favoritos']"
Imago,dcf0e174-e124-4ea2-9f80-227a387b0f16,Group,,PH,1999,"['p-pop', 'opm', 'pop rock']"
Tonic,5f8dfb7a-3cf6-47a1-a361-eb3b187f09f6,Group,,US,1993,"['alternative rock', 'alternative', 'folk rock', 'roots rock', 'post-grunge']"
B.J. Thomas,42a19448-ff60-4fd2-9d10-959bf2000729,Person,male,US,1942-08-07,"['rock', 'pop', 'country', 'soft rock', 'adult contemporary', 'blue-eyed soul', 'country pop', 'contemporary christian', '2008 universal fire victim']"
Nobita,32885786-1fd4-4c37-91fe-a5578c05b74d,Group,,PH,2018-05,
Ram Jam,f2be3d59-c508-492b-a553-056fc8a7e7b0,Group,,US,1976,"['rock', 'hard rock', 'southern rock', 'classic rock', 'boogie rock', 'classic pop and rock']"
FM Static,3ce16eb9-c989-4a14-b764-aadb957d16e0,Group,,CA,2003,
Julia Michaels,4757df70-6c3e-46b8-99c0-a68644595c9a,Person,female,US,1993-11-13,['pop']
Demi Lovato & Joe Jonas,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,Person,non-binary,US,1992-08-20,"['synthpop', 'pop', 'electropop', 'dance-pop', 'pop rock', 'teen pop', '2010s', 'alien lives matter']"
Faces,8c7a8406-f15a-408d-b0f6-23be813bdddc,Group,,GB,1969,"['rock', 'british', 'uk', 'hard rock', 'folk rock', 'blues rock', 'classic rock', 'boogie rock', 'english', 'classic pop and rock', 'max']"
maldita,4e7dd996-7a1a-451a-a21f-b2a7d677bda5,Group,,,,['industrial metal']
Misc Soundtrack/Sonu Nigam,93622908-0806-4173-94c1-9e42597af011,Person,male,IN,1973-07-30,"['love u sonu', 'sonu nigam', 'filmi', 'script-deva']"
Nidji,68796993-42b1-4f36-8570-6c0dbe2e7caa,Group,,ID,2002-02-02,['rock']
"Misc Traditional/Richard Rodgers, Lorenz Hart",3fb75d97-5dfd-4e72-9aee-1904aa4268f4,Person,male,US,1895-05-02,['lyricist']
Ronnie Liang,c9d55e67-c9bc-4bff-b640-5b4143f3ac46,Person,male,PH,1985-01-31,"['pop', 'opm']"
Lizzy McAlpine,ee0b11de-0c8a-4267-9886-198f4579e1db,Person,female,,1999-09-21,"['singer-songwriter', 'indie', 'indie pop', 'indie folk', 'folk pop']"
Portugal. The Man,3599a39e-4e10-4cb5-90d4-c8a015ebc73b,Group,,US,2004,"['math rock', 'indie rock', 'neo-psychedelia']"
Tom Petty,5ca3f318-d028-4151-ac73-78e2b2d6cdcc,Person,male,US,1950-10-20,"['heartland rock', 'southern rock', 'rock', 'classic pop and rock', 'singer/songwriter', '2008 universal fire victim', 'pop rock']"
CKY,4ed35152-5207-4101-8904-6cb5d159b545,Group,,,1998,"['stoner rock', 'alternative', 'alternative metal', 'pennsylvania']"
