,rank,artist,artist_list,song,ratings,hits,type,song_link,artist_link,star_count
0,1,Ed Sheeran,['Ed Sheeran'],Perfect,"48,238","41,205,313",chords,https://tabs.ultimate-guitar.com/tab/ed-sheeran/perfect-chords-1956589,https://www.ultimate-guitar.com/artist/ed_sheeran_30232,5.0
1,2,Jeff Buckley,['Jeff Buckley'],Hallelujah (ver 2),"54,484","39,807,305",chords,https://tabs.ultimate-guitar.com/tab/jeff-buckley/hallelujah-chords-198052,https://www.ultimate-guitar.com/artist/jeff_buckley_9898,5.0
2,3,Elvis Presley,['Elvis Presley'],Cant Help Falling In Love,"32,809","33,890,059",chords,https://tabs.ultimate-guitar.com/tab/elvis-presley/cant-help-falling-in-love-chords-1086983,https://www.ultimate-guitar.com/artist/elvis_presley_11125,5.0
3,4,Passenger,['Passenger'],Let Her Go,"24,248","31,904,817",chords,https://tabs.ultimate-guitar.com/tab/passenger/let-her-go-chords-1137467,https://www.ultimate-guitar.com/artist/passenger_21762,5.0
4,5,John Legend,['John Legend'],All Of Me,"26,699","29,790,560",chords,https://tabs.ultimate-guitar.com/tab/john-legend/all-of-me-chords-1248578,https://www.ultimate-guitar.com/artist/john_legend_11714,5.0
5,6,Jason Mraz,['Jason Mraz'],Im Yours (ver 11),"16,070","24,611,968",chords,https://tabs.ultimate-guitar.com/tab/jason-mraz/im-yours-chords-373896,https://www.ultimate-guitar.com/artist/jason_mraz_10984,5.0
6,7,Led Zeppelin,['Led Zeppelin'],Stairway To Heaven,"14,093","24,568,608",tab,https://tabs.ultimate-guitar.com/tab/led-zeppelin/stairway-to-heaven-tabs-9488,https://www.ultimate-guitar.com/artist/led_zeppelin_1036,5.0
7,8,Radiohead,['Radiohead'],Creep,"32,994","22,829,081",chords,https://tabs.ultimate-guitar.com/tab/radiohead/creep-chords-4169,https://www.ultimate-guitar.com/artist/radiohead_578,5.0
8,9,Ed Sheeran,['Ed Sheeran'],Thinking Out Loud,"17,356","22,366,807",chords,https://tabs.ultimate-guitar.com/tab/ed-sheeran/thinking-out-loud-chords-1486860,https://www.ultimate-guitar.com/artist/ed_sheeran_30232,5.0
9,10,Vance Joy,['Vance Joy'],Riptide (ver 2),"28,313","21,110,362",chords,https://tabs.ultimate-guitar.com/tab/vance-joy/riptide-chords-1237247,https://www.ultimate-guitar.com/artist/vance_joy_37940,5.0
10,11,Bruno Mars,['Bruno Mars'],When I Was Your Man,"23,375","19,885,644",chords,https://tabs.ultimate-guitar.com/tab/bruno-mars/when-i-was-your-man-chords-1198871,https://www.ultimate-guitar.com/artist/bruno_mars_28280,5.0
11,12,Ed Sheeran,['Ed Sheeran'],Photograph,"19,798","19,428,104",chords,https://tabs.ultimate-guitar.com/tab/ed-sheeran/photograph-chords-1493446,https://www.ultimate-guitar.com/artist/ed_sheeran_30232,5.0
12,13,Oasis,['Oasis'],Dont Look Back In Anger,"21,521","18,503,475",chords,https://tabs.ultimate-guitar.com/tab/oasis/dont-look-back-in-anger-chords-6097,https://www.ultimate-guitar.com/artist/oasis_734,5.0
13,14,Justin Bieber,['Justin Bieber'],Love Yourself,"15,168","18,173,598",chords,https://tabs.ultimate-guitar.com/tab/justin-bieber/love-yourself-chords-1780199,https://www.ultimate-guitar.com/artist/justin_bieber_25667,5.0
