link,difficulty: ,tuning: ,key: ,capo: ,chord_list,full_text,contributors,popularity,file format: ,filesize: ,instuments: 
https://tabs.ultimate-guitar.com/tab/the-fray/over-my-head-cable-car-chords-279519,intermediate,E A D G B E,Db,1st fret,"['Em7', 'G/F#', 'Em', 'Am', 'C', 'D', 'G']","Over My Head (Cable Car) - The Fray - ""How to Save a Life""
 
Capo on first fret
 
 
[Verse 1]
 
   C
I never knew
    Em              G             C
I never knew that everything was falling through
        Em        G               C
That everyone I knew was waiting on a queue
    Em       G               Am   Em        D
To turn and run when all I needed was the truth
                     C
But that's how it's got to be
       Em              G               C
It's coming down to nothing more than apathy
      Em             G              C
I'd rather run the other way than stay and see
      Em        G           Am     G        D
The smoke and who's still standing when it clears
 
 
[Chorus]
 
C    G    Em        G
Everyone knows I'm in
C        G     Em      D
Over my head, over my head
       C    G              Em     G
With eight seconds left in overtime
      C        G          Em   D    C
She's on your mind, she's on your mind
 
Em  G  C
Em  G
 
 
[Verse 2]
 
         C
Let's rearrange
   Em              G                C
I wish you were a stranger I could disengage
    Em           G              C
To say that we agree and then never change
    Em   G            Am        Em    D
Soften a bit until we all just get along
            C
But that's disregard
     Em           G              C
You find another friend and you discard
        Em          G          C
As you lose the argument in a cable car
     Em   G            Am    G     D
Hanging above as the canyon comes between
 
 
[Chorus]
 
C    G    Em        G
Everyone knows I'm in
C        G     Em      D
Over my head, over my head
       C    G              Em     G
With eight seconds left in overtime
      C        G          Em       D
She's on your mind, she's on your mind
 
C    G    Em        G
Everyone knows I'm in
C        G     Em      D
Over my head, over my head
       C    G              Em     G
With eight seconds left in overtime
      C        G          Em  D
She's on your mind, she's on, oh
 
 
[Bridge 1]
 
       C          Em       G           C
And suddenly I become a part of your past
       Em          G              C
I'm becoming the part that don't last
      Em    G             Am
I'm losing you and it's effortless
 
 
[Verse 3]
 
C                        Em            G
Without a sound we lose sight of the ground 
         C
In the throw around
         Em              G         C
Never thought that you wanted to bring it down
        Em         G            Am
I won't let it go down till we torch it ourselves
 
 
[Bridge 2]
 
G         G/F#
Everyone knows I'm in
Em7             C
Over my head, over my head
       C    G              Em   G
With eight seconds left in overtime
      Am       G          Em  D    C      Em
She's on your mind, she's on your mind...
G          C    Em         G       C
Everyone knows...   she's on your mind...
Em                 G         C
Everyone knows I'm in over my head
             Em          G
I'm in over my head, I'm over my...
 
 
[Chorus]
 
C    G    Em        G
Everyone knows I'm in
C        G     Em      D
Over my head, over my head
       C    G              Em     G
With eight seconds left in overtime
      C        G          Em   D  (C)
She's on your mind, she's on your mind
 
C      Em   G   x4
 
 
[Ending]
 
C
 
 
 
-Tabbed by Erik Berte
X",4 contributors total,"1,674,361 views, added to favorites 36,082 times",,,
https://tabs.ultimate-guitar.com/tab/aj-rafael/we-could-happen-chords-988492,beginner,E A D G B E,,no capo,"['D7', 'Em', 'Cm', 'C', 'G7', 'A7', 'Bm', 'D', 'Dm', 'G']","We Could Happen - AJ Rafael
 
 
[Lead/intro]
1st part
e|-----------------------10/12--10--------|
B|8----8--10-10/12----8-------------10/12-|
G|----------------------------------------|
D|----------------------------------------|
A|----------------------------------------|
E|----------------------------------------|
 
2nd part
e|---------10/12-10---------------------|
B|-8--10--------------10/12-10-8--------|
G|--------------------------------------|
D|--------------------------------------|
A|--------------------------------------|
E|--------------------------------------|
 
3rd part
e|-------------------------7h8-7--------|
B|--7-8----7-8-----8--10---------8-10---|
G|------7------6------------------------|
D|--------------------------------------|
A|--------------------------------------|
E|--------------------------------------|
 
G             Bm
I'll hold the door
            Em          Dm       G       C
please come in and just sit here for a while
        Bm          A7                D7        G
this is my way of telling you I need you in my life
         Bm                Em
it's so cold without your touch
          Dm       G         C
I've been dreaming way too much
         Bm           A7      D7
can we just turn this into reality
 
 
[Chorus] (mute after strum the chords)
        G                           D
'cause I've been thinking 'bout you lately
               Em                Cm            G
maybe you can save me from this crazy world we live in
                D
I know we could happen 'cause you know
      Em               Cm
that I've been feeling you
 
 
[Lead/intro]
1st part
e|-----------------------10/12--10--------|
B|8----8--10-10/12----8-------------10/12-|
G|----------------------------------------|
D|----------------------------------------|
A|----------------------------------------|
E|----------------------------------------|
 
2nd part
e|---------10/12-10---------------------|
B|-8--10--------------10/12-10-8--------|
G|--------------------------------------|
D|--------------------------------------|
A|--------------------------------------|
E|--------------------------------------|
 
3rd part
e|-------------------------7h8-7--------|
B|--7-8----7-8-----8--10---------8-10---|
G|------7------6------------------------|
D|--------------------------------------|
A|--------------------------------------|
E|--------------------------------------|
 
 
[Verse 2]
G                  Bm        Em
storms they will come but I know
          Dm        G7    C
that the sun will shine again
           Bm          A7              D7
he's my friend and he says that we belong together
G            Bm                Em
I'll sing a song to break the ice
         Dm            G7      C
just a smile from you would suffice
         Bm       A7                 D7
it's not me being nice, this is real tonight
 
 
[Chorus]
(I'm Yours strumming beat xD haha)
 
        G                           D
'cause I've been thinking 'bout you lately
               Em                Cm            G
maybe you can save me from this crazy world we live in
                D
I know we could happen 'cause you know
      Em               Cm
that I've been feeling you
 
 
[Bridge]
Em                 G                 A7
there's no other, there's no other love
Em               G       A7
that I'd rather have... no
Em                   G                   A7
there ain't no one, there ain't no one else
C                Cm
I want you for myself
 
 
[Chorus]
(no strumming until world)
 
        G                           D
'cause I've been thinking 'bout you lately
               Em                Cm            G
maybe you can save me from this crazy world we live in
                D
I know we could happen 'cause you know
      Em               Cm
that I've been feeling you
 
       G                           D
'cause I've been thinking 'bout you lately
               Em                Cm            G
maybe you can save me from this crazy world we live in
                D
I know we could happen 'cause you know
      Em               Cm
that I've been feeling you
 
 
************************************
 
| /  Slide up
| h  Hammer-on
 
************************************
X",4 contributors total,"1,674,527 views, added to favorites 14,428 times",,,
https://tabs.ultimate-guitar.com/tab/foo-fighters/everlong-chords-871948,intermediate,E A D G B E,D,no capo,"['A5', 'Bsus2', 'Dmaj7', 'B5', 'G5', 'A', 'D', 'Gsus2', 'D5']","[Intro]
Dmaj7  Bsus2  Gsus2 Bsus2
Dmaj7  Bsus2  Gsus2 Bsus2
Dmaj7  Bsus2  Gsus2 Bsus2
 
[Verse]
Dmaj7
Hello
     Bsus2
I've waited here for you
Gsus2 Bsus2
Everlong
Dmaj7
Tonight
  Bsus2
I throw myself into
Gsus2             Bsus2
And out of the red, out of her head she sang
Dmaj7
Come down
    Bsus2
And waste away with me
Gsus2    Bsus2
Down with me
Dmaj7
Slow how
    Bsus2
You wanted it to be
Gsus2           Bsus2
I'm over my head, out of her head she sang
 
[Pre-Chorus]
D A
 
     D
And I wonder
A               D
When I sing along with you
 
[Chorus]
B5                    G5                  D5
If everything could ever feel this real forever
B5                  G5                D5
If anything could ever be this good again
B5                    G5                  D5
The only thing I'll ever ask of you
                          A5               G5
You've got to promise not to stop when I say when
She sang
 
[Instrumental]
Dmaj7 Bsus2 Gsus2   Bsus2
 
[Verse]
Dmaj7
Breathe out
   Bsus2
So I could breathe you in
Gsus2    Bsus2
Hold you in
Dmaj7
And now
  Bsus2
I know you've always been
Gsus2             Bsus2
Out of your head, out of my head I sang
 
[Pre-Chorus]
D A
 
     D
And I wonder
A               D
When I sing along with you
 
[Chorus]
B5                    G5                  D5
If everything could ever feel this real forever
B5                  G5                D5
If anything could ever be this good again
B5                    G5                  D5
The only thing I'll ever ask of you
                          A5               G5
You've got to promise not to stop when I say when
She sang
 
[Instrumental]
Dmaj7  Bsus2  Gsus2 Bsus2
 
[Pre-Chorus]
D  D  D
 
D
And I wonder
B5                    G5                  D5
If everything could ever feel this real forever
B5                  G5                D5
If anything could ever be this good again
B5                    G5                  D5
The only thing I'll ever ask of you
                          A5               G5
You've got to promise not to stop when I say when
X",5 contributors total,"1,673,890 views, added to favorites 52,796 times",,,
https://tabs.ultimate-guitar.com/tab/papa-roach/last-resort-tabs-5441,,D A D G B E,,no capo,[],,2 contributors total,"1,672,566 views, added to favorites 10,669 times",,,
https://tabs.ultimate-guitar.com/tab/the-beatles/oh-darling-chords-17335,intermediate,E A D G B E,A,no capo,"['B7', 'F7', 'E7', 'E', 'Bm7', 'E7#5', 'F#m', 'Bb7', 'A', 'A7', 'D']","[Chords used]
 E7#5      A       E      F#m      D      Bm7      E7      A7      F7      B7     Bb7
e|-8-|  e|-0-|  e|-0-|  e|-2-|  e|-2-|  e|-2-|  e|-0-|  e|-0-|  e|-1-|  e|-2-|  e|-4-|
B|-9-|  B|-2-|  B|-0-|  B|-2-|  B|-3-|  B|-3-|  B|-0-|  B|-2-|  B|-1-|  B|-0-|  B|-3-|
G|-9-|  G|-2-|  G|-1-|  G|-2-|  G|-2-|  G|-2-|  G|-1-|  G|-0-|  G|-2-|  G|-2-|  G|-3-|
D|-0-|  D|-2-|  D|-2-|  D|-4-|  D|-0-|  D|-2-|  D|-0-|  D|-2-|  D|-1-|  D|-1-|  D|-3-|
A|-7-|  A|-0-|  A|-2-|  A|-x-|  A|-x-|  A|-2-|  A|-2-|  A|-0-|  A|-x-|  A|-2-|  A|-x-|
E|-0-|  E|-x-|  E|-0-|  E|-x-|  E|-x-|  E|-x-|  E|-0-|  E|-x-|  E|-x-|  E|-x-|  E|-x-|
 
 
 
[Verse 1]
E7#5      A                 E
       Oh darling, please believe me
F#m                  D
I'll never do you no harm
  Bm7             E7
Believe me when I tell you
Bm7        E7        A    D    A    E
I'll never do you no harm
 
 
[Verse 2]
   A               E
Oh darling, if you leave me
F#m                 D
I'll never make it alone
  Bm7             E7
Believe me when I beg you, oooo!
Bm7        E7        A      D    A   A7
Don't ever leave me alone
 
 
[Chorus]
         D                  F7
When you told me you didn't need me anymore
          A
Well, you know I nearly broke down and cried
         B7
When you told me you didn't need me anymore
          E7            F7            E7             E7#5
Well, you know I nearly fell down and die -ie -ie-ie-ied
 
 
[Verse 3]
   A               E
Oh darling, if you leave me
F#m                 D
I'll never make it alone
  Bm7             E7
Believe me when I tell you
Bm7        E7        A     D    A                   A7
I'll never do you no harm         believe me darlin'
 
 
[Chorus]
         D                  F7
When you told me you didn't need me anymore
          A
Well, you know I nearly broke down and cried
         B7
When you told me you didn't need me anymore
          E7            F7            E7             E7#5
Well, you know I nearly fell down and die -ie -ie-ie-ied
 
 
[Verse 4]
   A                 E
Oh darling, please believe me
F#m                D
I'll never let you down
 
(spoken) Oh, believe me, darling
  Bm7             E7
Believe me when I tell you, oooooo!
Bm7        E7        A           D     A          Bb7   A7
I'll never do you no ha-a-a-arm
X",6 contributors total,"1,673,263 views, added to favorites 32,526 times",,,
https://tabs.ultimate-guitar.com/tab/alex-clare/too-close-chords-1081645,beginner,E A D G B E,,no capo,"['F#', 'Em', 'Bm', 'D', 'G']","[Intro]
 
Bm  D  Em  G  F#
Bm  D  Em  G  F#
 
 
[Verse 1]
 
Bm                    D            Em               G   F#
     You know I'm not one to break promises
Bm                    D                      Em         G    F#
      I don't want to hurt you but I need to breathe
Bm                     D                   Em               G    F#
     At the end of it all, you're still my best friend
Bm                         D                     Em        G    F#
     But there's something inside that I need to release
Bm                         D
Which way is right, which way is wrong
Em                  G        F#
How do I say that I need to move on
Bm                  D                Em     G    F#
     You know we're heading separate ways
 
 
[Chorus]
 
       Bm              D                 Em          G    F#
And it feels like I am just too close to love you
Bm                       D            Em     G      F#
     There ain't nothing I can really say
Bm                        D               Em
     I can't lie no more, I can't hide no more
                    G      F#
Got to be true to myself
       Bm              D                 Em
And it feels like I am just too close to love you
G             F#
   So I'll be on my way
 
Bm    D     Em    G   F#
Bm    D     Em    G   F#
 
 
[Verse 2]
 
Bm                   D                 Em      G    F#
     You've given me more than I can return
Bm                   D                Em        G     F#
     Yet there oh so much that you deserve
Bm              D
Nothing to say, nothing to do,
Em
Nothing to give
       G         F#
I must leave without you
Bm                  D                Em      G    F#
     You know we're heading separate ways
 
 
[Chorus]
 
       Bm              D                 Em          G    F#
And it feels like I am just too close to love you
Bm                       D            Em     G      F#
     There ain't nothing I can really say
Bm                        D               Em
     I can't lie no more, I can't hide no more
                    G      F#
Got to be true to myself
       Bm              D                 Em
And it feels like I am just too close to love you
G             F#        Bm    D    Em
   So I'll be on my way
G             F#        Bm    D    Em
   So I'll be on my way
 
 
       Bm              D                 Em          G    F#
And it feels like I am just too close to love you
Bm                       D            Em     G      F#
     There ain't nothing I can really say
Bm                        D               Em
     I can't lie no more, I can't hide no more
                    G      F#
Got to be true to myself
       Bm              D                 Em
And it feels like I am just too close to love you
G             F#      Bm    D    Em
   So I'll be on my way
G             F#      Bm    D    Em
   So I'll be on my way
G             F#      Bm
   So I'll be on my way
X",3 contributors total,"1,670,363 views, added to favorites 31,615 times",,,
https://tabs.ultimate-guitar.com/tab/ed-sheeran/drunk-chords-1093785,intermediate,E A D G B E,G,no capo,"['D/F#', 'C', 'Em', 'D', 'D/A', 'G']","[Intro]
 
G
 
 
[Verse 1]
 
G
I wanna be drunk when I wake up
                  D/F#     Em
On the right side of the wrong bed
 
And never an excuse I made up
 
Tell you the truth I hate
      C
What didn't kill me
                          D   G
It never made me stronger at all
 
G
Love will scar your make-up lip sticks to me
             D/F#      Em
So now I'll maybe lean back there
                                  C
I'm sat here wishing I was sober
                                     D   G
I know I'll never hold you like I used to
 
 
[Pre-Chorus]
 
       Em                       D
But a house gets cold when you cut the heating
 G                             C
Without you to hold I'll be freezing
Em                D
Can't rely on my heart to beat in
G                                  C
'Cause you take parts of it every evening
Em                        D
Take words out of my mouth just from breathing
G                                       C       G
Replace with phrases like ""when you're leaving me?""
 
       D/A        C
Should I, should I?
 
 
[Chorus]
 
               Em       G
Maybe I'll get drunk again
       Em        G
I'll be drunk again
       Em        G
I'll be drunk again
                  C  D
To feel a little love
 
 
[Verse 2]
 
G
I wanna hold your heart in both hands
                                        D/F#    Em
Not watch it fizzle at the bottom of a Coke can
 
And I've got no plans for the weekend
 
So should we speak then?
                         C
Keep it between friends?
                                               D   G
Though I know you'll never love me like you used to
 
G
There may be other people like us
                                           D/F#   Em
Who see the flicker of a clipper when they light up
                                                C
Flames just create us, burns don't heal like before
                             D  G
And you don't hold me anymore
 
 
[Pre-Chorus]
 
    Em                     D
On cold days cold plays out like the band's the name
G                  C
I know I can't heal things with a hand shake
 Em                   D
You know I can change as I began saying
G                  C
You cut me wide open like a landscape
Em                D
Open bottles of beer but never champagne
G                         C             G
To applaud you with the sound that my hands make
 
       D/A        C
Should I, should I?
 
 
[Chorus]
 
               Em       G
Maybe I'll get drunk again
       Em        G
I'll be drunk again
       Em        G
I'll be drunk again
                 C  D
To feel a little love
 
 
[Bridge]
 
Em         G
All by myself
 
I'm here again
Em         G
All by myself
 
You know I'll never change
Em         G
All by myself
C       D   Em
All by myself
         Em      G
I'm just drunk again
         Em      G
I'll be drunk again
         Em      G
I'll be drunk again
                  C  D
To feel a little love
 
 
 
D/A is a regular D chord just with accent on bass A.
X",3 contributors total,"1,670,104 views, added to favorites 29,355 times",,,
https://tabs.ultimate-guitar.com/tab/759410,,,,,[],,,"1,669,610 views, added to favorites 17,813 times",,,
https://tabs.ultimate-guitar.com/tab/my-chemical-romance/welcome-to-the-black-parade-chords-443930,intermediate,E A D G B E,,no capo,"['D/F#', 'C', 'B', 'Em', 'D', 'G']","[Verse 1]
G            D/F#
When I was a young boy, 
Em             D
My father took me into the 
C      G/B              Am     D
city to see a marching band. 
 
            G             D/F#
He said, ""Son when you grow up, 
      Em          D             C          G/B              Am        D
would you be the saviour of the broken, the beaten and the damned?"" 
        G         D/F#
He said ""Will you defeat them, 
    Em            D          C               G/B                 Am      D
your demons, and all the non believers, the plans that they have made?"" 
        G            D/F#
Because one day I'll leave you, 
   Em        D
A phantom to lead you in the
C          G/B             Am      D
summer, to join the black parade."" 
 
[Instrumental]
G  D/F#  Em  D  C  G/B  Am D
 
[Verse 2]
G            D/F#
When I was a young boy, 
Em             D
My father took me into the 
C      G/B              Am     D
city to see a marching band. 
 
            G             D/F#
He said, ""Son when you grow up, 
      Em          D             C          G/B              Am        D
would you be the saviour of the broken, the beaten and the damned?"" 
 
[Instrumental 2]
G  D/F#  Em  D   C      D
 
[Verse 3]
G                   D/F#            Em            C
Sometimes I get the feeling she's watching over me. 
       C          G                   D
And other times I feel like I should go. 
G                        D/F#               Em            C
And through it all, the rise and fall, the bodies in the streets. 
C                       G               D
And when you're gone we want you all to know. 
 
[Chorus]
             G
We'll carry on, 
     D/F#   Em
We'll carry on
       D          C           G
And though you're dead and gone believe me 
      D
Your memory will
      G  D/F#
carry on 
            Em  D
We'll carry on 
          C
And in my heart I can't contain it 
         D
The anthem won't explain it. 
 
[Verse 4]
G                D/F#           Em         C
A woman sends you reeling from decimated dreams 
                 G                 D
Your misery and hate will kill us all. 
G                     D/F#
So paint it black and take it back 
Em                     C
Lets shout it loud and clear 
C               G
Defiant to the end 
              D
We hear the call 
 
[Chorus]
             G
We'll carry on, 
     D/F#   Em
We'll carry on
       D          C           G
And though you're dead and gone believe me 
      D
Your memory will
      G  D/F#
carry on
            Em  D
We'll carry on
                  C
And though you're broken and defeated 
       D              C
Your weary widow marches 
 
[Bridge]
B                               Em
On and on we carry through the fears 
 
Ooh oh ohhhh
B                          Em
Disappointed faces of your peers 
 
Ooh oh ohhhh
C                         Cm
Take a look at me cause I could not care at all 
 
G
Do or die 
D/F#
You'll never make me 
Em                 D
Because the world, will never take my heart 
C           G
You can try, you'll never break me 
C                D                    G
You want it all, you wanna play this part 
 
G
I won't explain or
D/F#
Say I'm sorry
Em             D
I'm unashamed, I'm gonna show my scars 
C             G
Give a cheer, for all the broken 
C            D
Listen here, because it's who we are 
 
A                E/G#
I'm just a man, I'm not a hero 
F#m              E
I'm just a boy, who's meant to sing this song 
D                A
I'm just a man, I'm not a hero 
E    E        E
I -- don't -- care 
 
[Chorus]
       A          E/G#
We'll carry on 
       F#m        E
We'll carry on 
        D
And though you're dead and gone believe me 
E
Your memory will
 
      A        E/G#
Carry on 
             F#m
You'll carry on 
      E           D
And though you're broken and defeated 
       E
Your weary widow marches on 
 
[Outro]
A           E/G#
(Do or die You'll never make me 
F#m                 E
Because the world, will never take my heart 
D
You can try, you'll never break me 
       E                    E
You want it all, you wanna play this part)
A           E/G#
(Do or die You'll never make me 
F#m                 E
Because the world, will never take my heart 
D
You can try, you'll never break me  
       E                    E                  A
You want it all, you wanna play this part) 
X",9 contributors total,"1,667,621 views, added to favorites 12,348 times",,,
https://tabs.ultimate-guitar.com/tab/tj-monterde/palagi-chords-5119987,beginner,Eb Ab Db Gb Bb Eb,G,no capo,"['G/B', 'Bm', 'Cm', 'Cadd9', 'Am', 'Em', 'D', 'G']","[Verse 1]
          G                   Cadd9
Hindi man araw-araw na nakangiti
       G                         Cadd9
Ilang beses na rin tayong humihindi
           Em                      Cadd9
'Di na mabilang ang ating mga tampuhan
          Em                    Cadd9
Away-bati natin, 'di na namamalayan
 
 
[Pre-Chorus]
 Am     D
Heto tayo
 
 
[Chorus]
            Cadd9      G/B
Ngunit sa huli palagi
Em                      D
Babalik pa rin sa yakap mo
            Cadd9      G/B
Hanggang sa huli palagi
Em                       D
Pipiliin kong maging sa'yo
            Am                  G
Ulit-ulitin man, nais kong malaman mong
Cadd9      G    Cadd9
Iyo ako palagi,
G    Cadd9
palagi
 
 
[Verse 2]
       G                               Cadd9
Kung balikan man ang hirap, luha't lahat
          G                        Cadd9
Ikaw ang paborito kong desisyon at
             Em                  Cadd9
'Pag napaligiran ng ingay at ng gulo
             Em                  Cadd9
'Di ko 'pagpapalit ngiti mo sa mundo
 
 
[Pre-Chorus]
 Am     D
Heto tayo
 
 
[Chorus]
     Cadd9      G/B
Sa huli palagi
Em                      D
Babalik pa rin sa yakap mo
            Cadd9      G/B
Hanggang sa huli palagi
Em                       D
Pipiliin kong maging sa'yo
            Am                   G
Ulit-ulitin man, nais kong malaman mong
Cadd9
Iyo ako
 
 
[Bridge]
Em           D                 Cadd9
Sa pagdating ng ating pilak at ginto
               Cm
Dyamante ma'y abutin
             Bm
Ikaw pa rin aking bituin
               Em                       Cadd9  D
Natatangi kong dalangin 'gang sa huling siglo
 
[Chorus]
     Cadd9      G/B
Sa huli palagi
Em                      D
Babalik pa rin sa yakap mo
         Cadd9      G/B
Mahal sa huli palagi
Em                       D
Pipiliin kong maging sa'yo
            Am                   G
Ulit-ulitin man, nais kong malaman mong
Cadd9   G    Cadd9
Iyo ako palagi
 
 
Credits: @dernalvamusic [YouTube]
Tutorial Link: https://youtu.be/CRgp0yTD9kQ?si=3lZ1UGfUDxLc--9i
X",2 contributors total,"1,695,811 views, added to favorites 7,396 times",,,
