link,difficulty: ,tuning: ,capo: ,chord_list,full_text,contributors,popularity,key: ,file format: ,filesize: ,instuments: 
https://tabs.ultimate-guitar.com/tab/eagles/new-kid-in-town-chords-14296,advanced,E A D G B E,no capo,"['F#m', 'G', 'D', 'A', 'Em7', 'B7', 'B', 'C', 'F#', 'G#m7', 'Am7/D', 'Am7', 'F#m7', 'C#m', 'G#m', 'E']","[Intro]
 
  |E              |E              |Bsus2   B      |Bsus2   B    |
   *   *   *   *   *   *   *   *   *   *   *   *   *   *   *   *
 
  |A              |B              |E              |E             |
   *   *   *   *   *   *   *   *   *   *   *   *   *   *   *   *
 
 
[Verse 1]
 
E                                             Bsus2   B    Bsus2  B
   There's talk on the street, it sounds so familiar;
A            B                    E
  Great expectations, ev'rybody's watchin' you.
E                                   Bsus2     B    Bsus2  B
   People you meet they all seem to know you,
A            B                                 E              G#7sus4 G#7
   even your old friends treat you like you're somethin' new.
 
 
[Chorus]
 
C#m             F#
    Johnny come lately,
C#m                F#
    the new kid in town.
C#m           F#
    Ev'rybody loves you,
F#m7                  B
    so don't let them down.
 
 
[Verse 2]
 
E                                  F#m7      B     F#m7   B
   You look in her eyes, the music begins to play,
A             B                   E     E
   hopeless romantics, here we go again.
E                                       F#m7   B    F#m7  B
   But after a while you're lookin' the other  way,
           A            B                 E     G#7sus4  G#7
it's those     restless hearts that never mend.             oohh ohh
 
 
[Chorus]
 
C#m            F#
   Johnny come lately,
C#m               F#
   the new kid in town.
C#m                F#
    Will she still love you
F#m7               B7
   when you're not around?
 
 
[Bridge]
 
  |E              |E              |B              |B            |
   *   *   *   *   *   *   *   *   *   *   *   *   *   *   *   *
 
  |A              |B              |E              |A   G#m F#m E |
   *   *   *   *   *   *   *   *   *   *   *   *   *   *   *   *
 
                                                      ^  ^  ^  ^  ^  ^
B                                          E          A  E  B  A  E  B
    There's so many things you should have told her,
                B                       C#m
But night after night you're willing to hold her,
     F#        Am7           Am7/D   D
just hold her, tears on your shoul - der.
 
 
[Verse 3]
 
G                                              Am7  D    Am7 D
   There's talk on the street, it's there to remind you.
C                 D                 G
   Doesn't really matter which side you're on.
G                                            Am7  D      Am7 D
   You're walkin' away and they're talkin' behind you,
          C                     D                   G     B7
they will never forget you 'til somebody new comes along.
 
 
[Chorus]
 
Em7                    A
     Where've you been lately?
Em7                      A
    There's a new kid in town.
Em7           A
    Ev'rybody loves him (don't they?)
Am7                  B7
    And he's holdin' her and you're still 
  E          G#m7        A
a roou ou ou ound  oh my my
 
 
[Outro]
 
B                       E      G#m7      A
   There's a new kid in towww, oww   oww oww
B                       E    G#m7     A     Am7
just another new kid in tow  oww  oww oww
 E                                     C#m
(Oo-hoo) Ev'rybody's talkin' 'bout the new kid in town.
 E                                     C#m
(Oo-hooh) Ev'rybody's walkin' like the new kid in town.
 
 
[Outro]
 
          E                 E
There's a new kid in town, (I don't want to hear it)
          C#m               C#m
There's a new kid in town, (I don't want to hear it)
          E                 E
There's a new kid in town, (I don't want to hear it)
          C#m               C#m
There's a new kid in town, (I don't want to hear it)
X",4 contributors total,"1,076,013 views, added to favorites 15,354 times",,,,
https://tabs.ultimate-guitar.com/tab/joy-division/love-will-tear-us-apart-chords-72612,intermediate,E A D G B E,no capo,"['D', 'A', 'Em', 'Dsus4', 'Dmaj9', 'Bm']","Video here - https://youtu.be/674KGKRQBPE
 
[Intro]
Dsus4
 
A Em D Dsus4 D Dmaj9 Bm A (x2)
 
[Verse 1]
     Em                  D Dsus4 D Dmaj9
When routine bites hard
      Bm                 A
And ambitions are low
      Em                 Dsus4
And resentment rides high
     Bm                  A
But emotions won't grow
          Em                 Dsus4
And we're changing our ways
       Bm                A
Taking different roads
 
[Chorus]
     Em    D    Dsus4 D    Dmaj9 Bm    A
Then love, love will  tear us   apart again
Em    D    Dsus4 D    Dmaj9 Bm    A        Em D Dsus4 D Dmaj9 Bm A
Love, love will  tear us   apart again
 
[Verse 2]
           Em               Dsus4
Why is the bedroom so cold
        Bm          A
Turned away on your side
      Em                    Dsus4
Is my timing that flawed
       Bm          A
Our respect run so dry
            Em                Dsus4
Yet there's still this appeal
           Bm               A
That we've kept through our lives
 
[Chorus]
    Em    D    Dsus4 D    Dmaj9 Bm    A
And love, love will  tear us   apart again
Em    D    Dsus4 D    Dmaj9 Bm    A
Love, love will  tear us   apart again
 
[Instrumental]
A  A  A  A  A  A  A  A
 
A Em D Dsus4 D Dmaj9 Bm A (x2)
 
[Verse 3]
           Em                Dsus4
Do you cry out in your sleep
       Bm                 A
All my failings exposed
      Em                  Dsus4
Get a taste in my mouth
        Bm           A
As desperation takes hold
      Em                  Dsus4
Is it something so good
           Bm          A
Just can't function no more
 
[Outro]
Em    D    Dsus4 D    Dmaj9 Bm    A
When love, love will tear us apart again
D    Dsus4 D    Dmaj9 Bm    A
Love, love will tear us apart again
D    Dsus4 D    Dmaj9 Bm    A
Love, love will tear us apart again
D    Dsus4 D    Dmaj9 Bm    A
Love, love will tear us apart again
X",6 contributors total,"1,075,260 views, added to favorites 10,280 times",D,,,
https://tabs.ultimate-guitar.com/tab/james-arthur/cars-outside-chords-2860499,beginner,E A D G B E,2nd fret,"['G', 'Em', 'D', 'A', 'B7', 'Am7', 'Am', 'C']","Am7 x02213
 
 
[Intro]
|Em G    |D  C    |
 
 
[Verse 1]
    Em              G                         D        C
I'm packin' my bags that I didn't unpack the last time
             Em               G                            D       C
I'm sayin' ""see you again"" so many times it's becomin' my tag line
    Em                      G                     D              C
But you know the truth, I'd rather hold you than try to catch this flight
   Em               G                            D     C
So many things I'd rather say but for now it's goodbye
 
 
[Pre-Chorus]
Am7                 Em     D
You say I'm always leavin'
Am7 Am             Em      D
You, when you're sleepin' alone, but the
C                               A
  The car's outside but I don't wanna go tonight
 
 
[Chorus]
G                      B7
I'm not gettin' in the Addison Lee
           Em                     C
Unless you pack your bags, you're comin' with me
G                               B7                           Em
  I'm tired of lovin' from afar, and never being where you are
                               C               Cm
Close the windows, lock the doors, don't wanna leave you anymore
 
 
[Interlude]
|Em G    |D  C    |
 
 
[Verse 2]
     Em                 G                          D    C
I'm starin' at the same four walls in a different hotel
Em              G                          D      C
It's an unfamiliar feelin', but I know it so well
        Em                      G                         D          C
Oh, but you know the truth, I'd rather hold you than this mobile in my hand
      Em              G                                  D        C
But I guess it'll do 'cause for you, I would run up my phone bill
 
 
[Pre-Chorus]
Am7                 Em     D
You say I'm always leavin'
Am7 Am          Em        D
You, when you need me the most, but the
C                               A
  The car's outside but I don't wanna go tonight
 
 
[Chorus]
G                      B7
I'm not gettin' in the Addison Lee
           Em                     C
Unless you pack your bags, you're comin' with me
G                               B7                           Em
  I'm tired of lovin' from afar, and never being where you are
                               C
Close the windows, lock the doors, don't wanna leave you anymore
 
 
[Post-Chorus]
G             B7               Em
  Ooh-ooh, ah-ah, ooh-ooh, ah-ah
          C
Ooh-ooh, aah, don't wanna leave you anymore
 
 
[Bridge]
Am7                         Em           D                          Am7
  Oh, darling, all of the city lights never shine as bright as your eyes
                              Em              D
I would trade them all for a minute more but the car's outside, and he's
C                          A
  Called me twice but he's gonna have to wait tonight
 
 
[Chorus]
G                      B7
I'm not gettin' in the Addison Lee
           Em                     C
Unless you pack your bags, you're comin' with me
G                               B7                           Em
  I'm tired of lovin' from afar, and never being where you are
                               C
Close the windows, lock the doors, don't wanna leave you anymore
 
 
[Post-Chorus]
G             B7               Em
  Ooh-ooh, ah-ah, ooh-ooh, ah-ah
          C                                  G
Ooh-ooh, aah, no, I don't wanna leave you anymore
                               B7
(Ooh-ooh, ah-ah) I don't wanna leave you
                               Em
(Ooh-ooh, ah-ah) I don't wanna leave you
                               C
(Ooh-ooh, ah-ah) I don't wanna leave you
            Cm         G
Don't wanna leave you anymore
X",2 contributors total,"1,082,035 views, added to favorites 19,273 times",A,,,
https://tabs.ultimate-guitar.com/tab/jet/look-what-youve-done-chords-202628,intermediate,E A D G B E,no capo,"['Am/G', 'G', 'C/B', 'D', 'Bb', 'Ab', 'F', 'Am', 'C']","[Verse 1]
 
C                     G
Take my photo off the wall
                 Am      Am/G     F
If it just won't sing for you
C                               G
'Cause all that's left has gone away
                    Am        Am/G           D
And there's nothing there for you to prove
 
 
[Chorus]
 
F                    G
Oh, look what you've done
              C    C/B    Am    Am/G
You've made a fool of everyone
F                            G
Oh well, it seems likes such fun
          C         C/B      Am   Am/G   D
Until you lose what you had won         hoo~
 
 
[Verse 2]
 
C                        G
Give me back my point of view
                    Am        Am/G     F
'Cause I just can't think for you
C                      G
I can hardly hear you say
                  Am   Am/G   D
What should I do, well you choose
 
 
[Chorus]
 
F                    G
Oh, look what you've done
              C    C/B    Am    Am/G
You've made a fool of everyone
F                            G
Oh well, it seems likes such fun
          C         C/B      Am   Am/G
Until you lose what you had won
 
 
[Bridge]
 
F                    G
Oh, look what you've done you've made a
   Ab  Bb      F
  fool of everyone
   Ab  Bb      F
A fool of everyone
   Ab  Bb      C
A fool of everyone
 
 
[Verse 3]
 
C                     G
Take my photo off the wall
                 Am      Am/G     F
If it just won't sing for you
C                               G
'Cause all that's left has gone away
                    Am        Am/G         D
And there's nothing there for you to do
 
 
[Chorus]
 
F                    G
Oh, look what you've done
              C    C/B    Am    Am/G
You've made a fool of everyone
F                            G
Oh well, it seems likes such fun
          C         C/B      Am   Am/G
Until you lose what you had won
 
 
[Outro]
 
F                    G
Oh, look what you've done you've made a
   Ab  Bb      F
  fool of everyone
   Ab  Bb      F
A fool of everyone
   Ab  Bb      C
A fool of everyone
X",3 contributors total,"1,074,734 views, added to favorites 12,480 times",,,,
https://tabs.ultimate-guitar.com/tab/misc-cartoons/frozen-do-you-want-to-build-a-snowman-chords-1450507,beginner,E A D G B E,3rd fret,[],"Tuning: Standard
Capo: 3rd Fret
 
Toddler Anna: Elsa? (knocks)
 
                       C
Do you want to build a snowman?
                     G
Come on let's go and play
                Am
I never see you anymore
     F
Come out the door,
                      G
It's like you've gone away
                   Am
We used to be best buddies
    C
And now we're not
  Am             E(E7)    F
I wish you would tell me why
                       C
Do you want to build a snowman?
                        F
It doesn't have to be a Snowman
 
Young Elsa: Go away, Anna
                     C
Toddler Anna: Okay, bye
 
 
 
                        C
Do you wanna build a snowman?
                              G
Or ride our bike around the halls
                          Am
I think some company is overdue
                F                             G
I've started talking to the pictures on the walls
(Hang in there, Joan)
                   Am
It gets a little lonely
                  C
All these empty rooms
         Am         E(E7)     F
Just watching the hours tick by
(Tic-Tock, Tic-Tock)
 
 
                           C
Please, I know you're in there
                               G
People are asking where you've been
                                      Am
They say have courage, and I'm trying to
                        F                G
I'm right out here for you, just let me in
              Am
We only have each other
           C
It's just you and me
Am            E(E7) F
What are we gonna do?
                        C
Do you wanna build a snowman?
 
 
Made some small changes in a chord I found. And here is the whole song. I just love this
one so much but its so sad :/
// Sofelia
X",1 contributor total,"1,074,369 views, added to favorites 31,602 times",,,,
https://tabs.ultimate-guitar.com/tab/lynyrd-skynyrd/free-bird-tabs-54449,,,no capo,[],,1 contributor total,"1,073,182 views, added to favorites 1,062 times",,,,
https://tabs.ultimate-guitar.com/tab/u2/all-i-want-is-you-chords-57144,beginner,E A D G B E,1st fret,"['Cadd9', 'G', 'Em']","U2 - ALL I WANT IS YOU
                        ======================
 
                            (CAPO 1ST FRET)
 
                                 G (320003)
                             Cadd9 (x32030)
                                Em (022000)
 
 
[Intro]
G    Cadd9    G    Cadd9
 
 
[Verse 1]
    G       Cadd9    G                      Cadd9
You say you want     diamonds and a ring of gold
G       Cadd9     G                 Cadd9
You say you want your story to remain untold
 
 
[Chorus 1]
            Em          Cadd9
But all the promises we make
         Em            Cadd9
From the cradle to the grave
     G     Cadd9     G    Cadd9    G    Cadd9
When all I want is you
 
 
[Verse 2]
    G          Cadd9     G                   Cadd9
You say you'll give me a highway with no one on it
  G                      Cadd9
A treasure just to look upon it
        G             Cadd9
All the riches in the night
 
    G          Cadd9   G                 Cadd9
You say you'll give me eyes in a moon of blindness
  G                  Cadd9
A river in a time of dryness
  G              Cadd9
A harbour in the tempest
 
 
[Chorus 2]
          Em          Cadd9
But all the promises we make
         Em            Cadd9
From the cradle to the grave
     G     Cadd9     G    Cadd9    G    Cadd9
When all I want is you
 
 
[Link 1]
G    Cadd9    G    Cadd9
 
 
[Verse 3]
    G       Cadd9     G                Cadd9
You say you want your love to work out right
   G                        Cadd9
To last with me through the night
 
    G       Cadd9    G                      Cadd9
You say you want     diamonds and a ring of gold
     G                Cadd9
Your story to remain untold
     G              Cadd9
Your love not to grow cold
 
 
[Chorus 3]
            Em          Cadd9
But all the promises we break
         Em            Cadd9
From the cradle to the grave
     G     Cadd9     G    Cadd9    G    Cadd9
When all I want is you
 
 
[Link 2]
G    Cadd9    G    Cadd9
 
 
[Middle]
G     Cadd9             G     Cadd9
You - ou, all I want is you - ou, all I want is
G     Cadd9             G     Cadd9
You - ou, all I want is you - ou
 
 
[Solo]
G    Cadd9    G    Cadd9
G    Cadd9    G    Cadd9
G    Cadd9    G    Cadd9
G    Cadd9    G    Cadd9
 
 
[Outro]
G    Cadd9    G    Cadd9
G    Cadd9    G    Cadd9
G    Cadd9    G    Cadd9
G    Cadd9    G    Cadd9
 
G    Cadd9    G    Cadd9
G    Cadd9    G    Cadd9
G    Cadd9    G    Cadd9
G    Cadd9    G    Cadd9
 
G    Cadd9    G    Cadd9
G    Cadd9    G    Cadd9
G    Cadd9    G    Cadd9
G
X",5 contributors total,"1,073,640 views, added to favorites 33,778 times",Ab,,,
https://tabs.ultimate-guitar.com/tab/sam-smith/writings-on-the-wall-chords-1769608,intermediate,E A D G B E,1st fret,"['G', 'Em', 'D', 'Bsus4', 'B', 'Gmaj7', 'Am7', 'Cmaj7', 'D/F#', 'Am', 'C', 'Bm']","Capo I
 
In the intro/verses: Em can also be played as Emadd9 (add the F# note) to sound more like the piano.
 
[Intro]
 
Em   Gmaj7
Em   Gmaj7
 
 
[Verse]
 
Em                  Gmaj7
  I've been here before
Em                    Gmaj7
  But always hit the floor
     Cmaj7
I've spent a lifetime running
      Bsus4
And I always get away
          Cmaj7
But with you I'm feeling something
     Bsus4              B
That makes me want to stay
 
Em                  Gmaj7
  I'm prepared for this
Em                  Gmaj7
  I never shoot to miss
      Cmaj7
But I feel like a storm is coming
       Bsus4
If I'm gonna make it through the day
             Cmaj7
Then there's no more use in running
        Bsus4              B
This is something I gotta face
 
 
[Chorus]
 
Em   D/F#  G      Cmaj7
  If  I   risk it all
Em      D/F# G        B
  Could you  break my fall?
          Em            D
How do I live? How do I breathe?
                 C               D
When you're not here I'm suffocating
               Em                   D
I want to feel love, run through my blood
            C                       Bm
Tell me is this where I give it all up?
    Am            Am7     Bm B
For you I have to risk it a-all
                             (Em)
Cause the writing's on the wall
 
 
[Interlude]
 
Em  Gmaj7
 
 
[Verse]
 
Em                     Gmaj7
  A million shards of glass
Em                       Gmaj7
  That haunt me from my past
       Cmaj7
As the stars begin to gather
        Bsus4
And the light begins to fade
         Cmaj7
When all hope begins to shatter
          Bsus4        B
Know that I won't be afraid
 
 
[Chorus]
 
Em   D/F# G       Cmaj7
  If I    risk it all
Em      D/F# G        B
  Could you  break my fall?
         Em             D
How do I live? How do I breathe?
                C                D
When you're not here I'm suffocating
               Em                   D
I want to feel love, run through my blood
           C                        Bm
Tell me is this where I give it all up?
    Am            Am7     Bm B
For you I have to risk it a-all
                           Em   Gmaj7
Cause the writing's on the wa-aaall
                     Em   Gmaj7
The writing's on the wa-aaaall
 
 
[Instrumental]
 
C    Bsus4
C    Bsus4  B
 
 
[Chorus]
 
         Em             D
How do I live? How do I breathe?
                C                D
When you're not here I'm suffocating
               Em                   D
I want to feel love, run through my blood
           C                        D
Tell me is this where I give it all up?
         Em             D
How do I live? How do I breathe?
                C                D
When you're not here I'm suffocating
               Em                   D
I want to feel love, run through my blood
           C                        Bm
Tell me is this where I give it all up?
    Am            Am7     Bm B
For you I have to risk it a-all
                           Em
Cause the writing's on the wall
X",4 contributors total,"1,072,993 views, added to favorites 27,580 times",,,,
https://tabs.ultimate-guitar.com/tab/virzha/tentang-rindu-chords-2344569,beginner,E A D G B E,no capo,"['G', 'Dm', 'Em', 'A', 'Fm', 'F', 'Am', 'C']","[Verse 1]
  F           G
pagi telah pergi
     Em          Am       G
mentari tak bersinar lagi
  F            G
entah sampai kapan
        Em           Am
ku mengingat tentang dirimu
 
[Chorus]
     C        Em
ku hanya diam
    Am          A            Dm
menggenggam menahan segala kerinduan
  G                     C        Em
memanggil namamu di setiap malam
 Am            A          F           G
ingin engkau datang dan hadir di mimpiku
   C
rindu
 
[Verse 2]
       F           G
dan waktu kan menjawab
       Em        Am
pertemuan ku dan dirimu
    F           G
hingga sampai kini
      Em      Am     G
aku masih ada disini
 
[Chorus]
     C        Em
ku hanya diam
    Am          A            Dm
menggenggam menahan segala kerinduan
  G                     C         Em
memanggil namamu di setiap malam
 Am            A          F           G
ingin engkau datang dan hadir di mimpiku
   C
rindu
 
[Bridge]
F         G            C            Em     A
 dan bayangmu akan selalu bersandar di hatiku
              F               G
janji ku pastikan pula bersamamu
 
[Instrumental]
C Em A Dm Fm
C Em A Dm Fm G
 
[Chorus]
     C        Em
ku hanya diam
    Am          A            Dm
menggenggam menahan segala kerinduan
  Fm          G         C        Em
memanggil namamu di setiap malam
 Am            A          F           G
ingin engkau datang dan hadir di mimpiku
 
[Chorus]
     C        Em
ku hanya diam
    Am          A            Dm
menggenggam menahan segala kerinduan
  Fm          G         C        Em
memanggil namamu di setiap malam
 Am            A          F           G
ingin engkau datang dan hadir di mimpiku
    F          G
selalu di mimpiku
   C
rindu
X",1 contributor total,"1,072,477 views, added to favorites 3,995 times",C,,,
https://tabs.ultimate-guitar.com/tab/jesus-culture/break-every-chain-chords-1113828,beginner,E A D G B E,no capo,[],"Break Every Chain - Jesus Culture
From the album ""Awakening Live from Chicago""
 
[Intro]
 
F#m D A E
 
 
[Chorus]
 
         F#m    D              A     E
There is power in the name of Jesus
         F#m    D              A     E
There is power in the name of Jesus
         F#m    D              A     E
There is power in the name of Jesus
 
             F#m
To break every chain
              D
To break every chain
              A      E
To break every chain
 
 
[Verse]
 
F#m     D       A     E
All sufficient sacrifice
    F#m    D
So freely given
 A      E
Such a price bought
F#m     D
Our redemption
 A        E           F#m  D  A  E
Heaven's gates swing wide
 
 
[Chorus 2]
 
           F#m   D     A   E
There's an army rising up
           F#m   D     A   E
There's an army rising up
           F#m   D     A   E
There's an army rising up
 
             F#m
To break every chain
              D
To break every chain
              A      E
To break every chain
X",2 contributors total,"1,072,344 views, added to favorites 26,733 times",,,,
